Results
Data from Matlab    Data from Simulation
174D7A353           174D7A353           TRUE      
1A5556ED9           1A5556ED9           TRUE      
0A2739D72           0A2739D72           TRUE      
1604D9CD6           1604D9CD6           TRUE      
0596D1578           0596D1578           TRUE      
14E060A18           14E060A18           TRUE      
04AC0F66E           04AC0F66E           TRUE      
03260995C           03260995C           TRUE      
03C7DE936           03C7DE936           TRUE      
1C4F646DC           1C4F646DC           TRUE      
0010A7CA7           0010A7CA7           TRUE      
18367A3DC           18367A3DC           TRUE      
04E1155E9           04E1155E9           TRUE      
01210A2DA           01210A2DA           TRUE      
059690B00           059690B00           TRUE      
0356800E2           0356800E2           TRUE      
1EDCC0967           1EDCC0967           TRUE      
075A4312F           075A4312F           TRUE      
009983D82           009983D82           TRUE      
1D2F86E93           1D2F86E93           TRUE      
03A9873C0           03A9873C0           TRUE      
1E8694B99           1E8694B99           TRUE      
18C13C7AD           18C13C7AD           TRUE      
09A92A3AD           09A92A3AD           TRUE      
0C0A5815A           0C0A5815A           TRUE      
1D2699264           1D2699264           TRUE      
02BA30761           02BA30761           TRUE      
151D48694           151D48694           TRUE      
1CE834253           1CE834253           TRUE      
1D7650AD8           1D7650AD8           TRUE      
0205EDE96           0205EDE96           TRUE      
1868514A9           1868514A9           TRUE      
082A7CBEA           082A7CBEA           TRUE      
041AEC64E           041AEC64E           TRUE      
04792D75D           04792D75D           TRUE      
0B7BC5F34           0B7BC5F34           TRUE      
1D1CAE907           1D1CAE907           TRUE      
0261388B3           0261388B3           TRUE      
15D93AF21           15D93AF21           TRUE      
000378800           000378800           TRUE      
098C17387           098C17387           TRUE      
0847AB886           0847AB886           TRUE      
1D9A2671D           1D9A2671D           TRUE      
0AE3EDFC0           0AE3EDFC0           TRUE      
1F182C8D4           1F182C8D4           TRUE      
1C68D9C97           1C68D9C97           TRUE      
0447710EA           0447710EA           TRUE      
04FA65866           04FA65866           TRUE      
110C117F3           110C117F3           TRUE      
0E650D0C0           0E650D0C0           TRUE      
1D8F9275E           1D8F9275E           TRUE      
